id,source_id,status,agency_name,kind,aliases,word_1,word_2,word_3,word_4,word_5,diff_1,diff_2,diff_3,diff_4,diff_5,pop_culture,tier,change_log,notes
1,1,final,Green Vegetables,natural_taxonomy,vegetables | veggies | greens | green veggies | leafy greens | green vegetable | leafy vegetables,spinach,cabbage,broccoli,watercress,kohlrabi,1,2,2,4,5,N,1,,The reference case from the spec. Kohlrabi is unmistakably a vegetable so the room has a route.
2,4,final,Chess,abstract_vocabulary,chess game | chess pieces | chessboard | playing chess | game of chess,bishop,rook,checkmate,castling,en passant,1,2,3,4,5,N,1,"Removed opening, exchange, endgame. All three are business-native. Replaced with chess-only pieces and moves.",First three are native business metaphors. En passant is fully diagnostic.
3,5,final,Sewing and Tailoring,procedural_terms,sewing | tailoring | needlework | dressmaking | seamstress | tailor | sewing tailoring,thread,seam,hem,bobbin,pinking shears,1,2,3,4,5,N,1,,Thread and seam are common in software and process talk which makes the ramp steep.
4,10,final,Card Games,abstract_vocabulary,cards | playing cards | card game | games with cards | poker,face cards,full house,solitaire,five card draw,cribbage,1,2,3,4,5,N,1,"Kept as Card Games. Added poker terms (full house, five card draw) and removed deal, shuffle, bluff as too common.",Cribbage and solitaire carry the category. No gambling framing since the card is not poker-only.
5,13,final,Astronomy,abstract_vocabulary,space | stars and planets | the cosmos | astrophysics | astronomy and space | celestial,orbit,eclipse,comet,constellation,supernova,1,2,3,3,4,N,1,,Orbit and eclipse are common. Constellation of is a consulting cliche which helps.
6,14,final,Pasta Shapes,food_drink,pasta | pasta types | types of pasta | italian pasta | pasta noodles,spaghetti,penne,ravioli,orzo,orecchiette,2,3,3,4,5,N,2,,All five are lunch talk. Easy end is not truly easy.
7,15,final,Spices,food_drink,spice | seasoning | seasonings | spice rack | cooking spices | spice cabinet,pepper,cinnamon,paprika,cardamom,sumac,1,3,3,4,5,N,2,,Pepper is the only genuinely low-friction word.
8,16,final,Fruit,natural_taxonomy,fruits | fruit names | types of fruit | fresh fruit | fruit bowl,apple,cherry,mango,papaya,lychee,1,1,3,4,5,N,2,,Apple and cherry pick both have work uses. Lychee is the tell.
9,18,final,Dog Breeds,natural_taxonomy,dogs | dog breed | types of dogs | canine | puppies | dog,shepherd,poodle,beagle,dachshund,schnauzer,1,3,3,4,5,N,2,,Shepherd plants easily. Pet talk gives the rest a natural home in a distributed team.
10,19,final,Seafood,food_drink,fish | fish and seafood | shellfish | sea food | ocean fish,salmon,tuna,halibut,anchovy,monkfish,1,2,3,4,5,N,2,,Salmon and tuna are lunch words. Monkfish is diagnostic.
11,20,final,Workshop Tools,manufactured_object,tools | hand tools | hardware tools | workshop | tool bench | garage tools,level,wrench,chisel,plumb line,lathe,1,2,3,4,5,N,1,,Level and wrench are metaphor-ready. Plumb line is a strong tell.
12,24,final,Dance Styles,abstract_vocabulary,dance | dancing | dances | types of dance | ballroom | ballroom dance,swing,tango,waltz,flamenco,foxtrot,1,2,3,4,4,N,1,,It takes two to tango is a business cliche which does real camouflage work.
13,28,final,Sailing,procedural_terms,sailboats | sailboat | boating | nautical sailing | yachting | sail boat,capsize,harbor,starboard,sextant,spinnaker,2,2,3,4,5,N,1,"Removed mast as instructed and added sextant. Also dropped anchor, which is a business metaphor.",Anchor is an anchoring metaphor. Spinnaker is unmistakable.
14,30,final,Rivers of the World,proper_noun_set,rivers | river | world rivers | famous rivers | river names | major rivers,Amazon,Thames,Nile,Danube,Yangtze,1,3,3,4,5,N,1,,Amazon is nearly free to say. The rest need construction which is the point.
