pack,card_number,word_1,word_2,word_3,word_4,word_5
A,1,umbrella,doorbell,splinter,nostalgia,bureaucracy
A,2,pillow,treadmill,eyebrow,patience,entropy
A,3,envelope,lighthouse,hiccup,momentum,paradox
A,4,mirror,backpack,blister,curiosity,hierarchy
A,5,spoon,elevator,thunder,jealousy,integrity
A,6,mailbox,keyboard,sunburn,gravity,nuance
A,7,candle,tractor,whistle,boredom,precedent
A,8,hammer,pancake,shadow,freedom,irony
A,9,towel,telescope,sneeze,loyalty,inertia
A,10,basket,windmill,freckle,hunger,ambiguity
A,11,anchor,cupcake,puddle,courage,symmetry
A,12,ribbon,bicycle,yawn,gossip,hypocrisy
A,13,shovel,popcorn,cobweb,mischief,consensus
A,14,lantern,sandwich,avalanche,memory,compromise
A,15,wallet,escalator,blizzard,doubt,restraint
A,16,kettle,hamster,echo,optimism,velocity
A,17,drawer,violin,rust,apology,threshold
A,18,blanket,submarine,glitter,temptation,correlation
A,19,crayon,waterfall,itch,rivalry,autonomy
A,20,ticket,chimney,dust,impulse,legacy
A,21,helmet,pineapple,fog,homesickness,abstraction
A,22,button,giraffe,ripple,suspicion,obligation
A,23,saddle,calendar,static,gratitude,sarcasm
A,24,napkin,harmonica,mold,stubbornness,coincidence
A,25,rope,microwave,dent,reluctance,perspective
A,26,clock,penguin,smoke,relief,subtlety
A,27,broom,kayak,glare,embarrassment,jurisdiction
A,28,fence,waffle,drizzle,ambition,accountability
A,29,glove,accordion,mud,superstition,equilibrium
A,30,jar,tricycle,frost,discipline,metaphor
B,1,pencil,cactus,shimmer,flattery,hindsight
B,2,bandage,canoe,breeze,sympathy,bias
B,3,staircase,muffin,tide,exhaustion,ritual
B,4,straw,ostrich,crack,honesty,delegation
B,5,lamp,sled,foam,obsession,sequence
B,6,suitcase,jellyfish,drip,mercy,tradition
B,7,pocket,seesaw,spark,confusion,capacity
B,8,cardboard,trumpet,hail,forgiveness,assumption
B,9,thermos,walrus,wrinkle,suspense,incentive
B,10,rug,zipper,sludge,pride,friction
B,11,bench,otter,bubble,eagerness,leverage
B,12,mattress,compass,ash,humility,chronology
B,13,faucet,banjo,bruise,urgency,precision
B,14,barrel,hedgehog,splash,comfort,contrast
B,15,sponge,scooter,smudge,excitement,relevance
B,16,chalk,moose,thorn,frustration,syntax
B,17,gate,pretzel,spiral,amusement,proportion
B,18,curtain,dolphin,glow,kindness,hesitation
B,19,bolt,marshmallow,mist,generosity,tolerance
B,20,sink,camel,feather,modesty,alignment
B,21,nail,tambourine,sap,empathy,distinction
B,22,crate,badger,soot,worry,priority
B,23,purse,unicycle,pebble,restlessness,trajectory
B,24,lobster,visor,clatter,satisfaction,boundary
B,25,mug,tortoise,flicker,denial,expectation
B,26,pipe,xylophone,grit,awe,translation
B,27,mitten,raccoon,creak,disappointment,negotiation
B,28,shelf,flamingo,moss,impatience,motive
B,29,bowl,kangaroo,ember,delight,permission
B,30,hose,seagull,gravel,wonder,intention
